序号,姓名,所属公司,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
14,崔建波,方正富邦基金,"方正富邦新兴成长混合A,方正富邦新兴成长混合C,方正富邦策略精选A,方正富邦策略精选C,方正富邦汇福一年定开混合A,方正富邦汇福一年定开混合C,方正富邦趋势领航混合A,方正富邦趋势领航混合C,方正富邦策略轮动混合A,方正富邦策略轮动混合C",4082,30.08,25.16
15,陈健宾,景顺长城基金,"景顺长城领先回报混合A,景顺长城领先回报混合C,景顺长城景盈双利债券A,景顺长城景盈双利债券C,景顺长城景颐丰利债券A,景顺长城景颐丰利债券C,景顺长城睿成混合A,景顺长城睿成混合C,景顺长城泰恒回报混合A,景顺长城泰恒回报混合C,景顺长城景泰聚利纯债,景顺长城景泰纯利债券,景顺长城景泰优利一年定开纯债",229,55.99,7.44
16,陈锦达,红土创新基金,盐港REIT,129,,
17,陈健夫,摩根士丹利华鑫基金,"大摩量化配置混合C,大摩量化配置混合A",1170,2.46,49.53
18,陈建华,华宝基金,"华宝中证100指数C,华宝中证细分化工产业主题ETF联接A,华宝中证细分化工产业主题ETF联接C,华宝中证新材料ETF发起式联接A,华宝中证新材料ETF发起式联接C,华宝中证智能电动汽车ETF发起式联接A,华宝中证智能电动汽车ETF发起式联接C,华宝中证金融科技主题ETF,华宝有色金属ETF,华宝中证100指数A,华宝化工ETF,华宝新材料ETF,华宝智能电动汽车ETF",3218,21.17,181.28
19,陈俊华,交银施罗德基金,"交银核心资产混合,交银鸿福六个月持有混合A,交银鸿福六个月持有混合C,交银鸿光一年混合A,交银鸿光一年混合C,交银鸿信一年持有期混合A,交银鸿信一年持有期混合C,交银鸿泰一年持有期混合A,交银鸿泰一年持有期混合C,交银环球精选混合(QDII),交银沪港深价值精选混合",2154,91.09,134.72
20,陈建华,国联安基金,"国联安鑫乾混合A,国联安鑫乾混合C,国联安鑫隆混合A,国联安鑫隆混合C,国联安恒利63个月定开债A,国联安恒利63个月定开债C,国联安增盛一年定开债,国联安增泰一年定开债发起式,国联安鑫稳3个月持有混合A,国联安鑫稳3个月持有混合C,国联安增利债券A,国联安增利债券B",1059,101.32,91.84
21,曹建华,鑫元基金,"鑫元恒鑫收益增强债券型发起式A,鑫元恒鑫收益增强债券型发起式C,鑫元聚鑫收益增强债A,鑫元聚鑫收益增强债C,鑫元双债增强债券A,鑫元双债增强债券C,鑫元鑫趋势灵活配置混合A,鑫元鑫趋势灵活配置混合C,鑫元增利定开债发起式,鑫元行业轮动混合A,鑫元行业轮动混合C",126,21.96,2.32
22,崔俊杰,景顺长城基金,"景顺长城研究精选股票,景顺中证科技传媒通信150ETF联接,景顺长城睿成混合A,景顺长城睿成混合C,景顺长城支柱产业混合,景顺中证科技传媒通信150ETF,景顺长城中证港股通科技ETF",2904,21.72,19.83
23,陈建军,创金合信基金,"创金合信消费主题股票A,创金合信消费主题股票C",868,2.22,101.44
24,陈纪靖,红塔红土,"红塔红土瑞祥纯债A,红塔红土瑞祥纯债C,红塔红土盛兴39个月定开债A,红塔红土盛兴39个月定开债C,红塔红土瑞景纯债A,红塔红土瑞景纯债C",945,24.25,4.66
25,陈建良,建信基金,"建信嘉薪宝货币A,建信现金添利货币A,建信嘉薪宝货币B,建信现金增利货币A,建信现金添益货币A,建信现金添利货币B,建信货币B,建信天添益货币A,建信天添益货币B,建信天添益货币C,建信结算宝货币,建信短债债券F,建信现金增利货币B,建信现金添益货币C,建信鑫悦90天滚动中短债A,建信鑫悦90天滚动中短债C,建信现金添益货币H,建信货币A,建信短债债券C,建信短债债券A",2865,4453.53,27.3
26,蔡健林,汇添富基金,"汇添富养老2030混合(FOF),汇添富养老2040五年持有混合(FOF),汇添富养老2050混合(FOF),汇添富添福盈和稳健养老一年持有混合(FOF),汇添富添福睿选稳健养老目标一年持有混合(FOF),汇添富添福汇盈稳健养老目标一年持有混合(FOF),汇添富添福增长稳健养老目标一年持有混合(FOF)",1022,72.57,65.33
27,陈觉平,东方红资产管理,"东方红鑫裕两年定开信用债,东方红鑫安39个月定开债券,东方红招盈甄选一年混合A,东方红招盈甄选一年混合C,东方红明鉴优选两年定开混合,东方红锦和甄选18个月持有混合A,东方红锦和甄选18个月持有混合C,东方红创新优选定开混合,东方红均衡优选定开混合",1206,139.07,37.1
28,陈金伟,宝盈基金,"宝盈新兴产业混合A,宝盈优势产业混合A,宝盈国家安全沪港深股票A,宝盈优势产业混合C,宝盈新兴产业混合C,宝盈国家安全沪港深股票C",327,28.98,55.84
29,陈健玮,汇添富基金,"汇添富港股通专注成长,汇添富沪港深大盘价值混合,汇添富沪港深优势定开,汇添富香港混合(QDII)",1339,23.98,38.83
30,陈佳昀,万家基金,"万家现金宝A,万家鑫瑞纯债A,万家鑫瑞纯债E,万家现金宝B,万家可转债债券A,万家可转债债券C,万家惠裕回报6个月持有期混合A,万家惠裕回报6个月持有期混合C,万家添利债券(LOF),万家稳健增利债券A,万家稳健增利债券C",1592,245.02,39.86
31,程琨,广发基金,"广发逆向策略混合A,广发优企精选混合A,广发优企精选混合C,广发价值驱动混合A,广发价值驱动混合C,广发逆向策略混合C,广发价值增长混合A,广发价值增长混合C,广发核心精选混合,广发行业领先混合A",3173,90.16,211.44
32,蔡卡尔,富国基金,"富国中证医药主题指数增强C,富国港股通量化精选股票型,富国中证港股通互联网ETF,富国细分机械设备产业主题ETF,富国中证医药主题指数增强A,富国中证高端制造指数增强型,富国中证大数据产业ETF,富国中证ESG120策略ETF,富国沪深300ESG基准ETF,富国中证新华社民族品牌工程ETF",1742,30.54,127.42
33,陈凯杨,博时基金,"博时双月薪定期支付债券,博时聚瑞6个月定开债,博时富益纯债债券,博时富乐纯债债券,博时富信纯债债券,博时恒玺一年持有期混合A,博时恒玺一年持有期混合C,博时双月享60天滚动持有债券A,博时双月享60天滚动持有债券C,博时稳定价值债券B,博时稳定价值债券A,博时安康定开债(LOF)",3234,94.42,83.37
34,常璐,太平基金,"太平灵活配置,太平智选一年定开股票,太平智行三个月定开混合发起式",681,36.71,27.79
35,陈立,金鹰基金,"金鹰内需成长混合A,金鹰内需成长混合C,金鹰产业升级混合A,金鹰产业升级混合C,金鹰稳健成长混合,金鹰主题优势混合",2982,58.5,274.71
36,陈梁,中邮基金,"中邮消费升级,中邮瑞享两年定开混合A,中邮瑞享两年定开混合C,中邮睿丰增强债券A,中邮睿丰增强债券C,中邮核心优选混合,中邮核心主题混合",2639,56.35,96.14
37,陈雷,博时基金,"博时内需增长混合A,博时内需增长混合C,博时行业轮动混合",2603,6.72,165.73
38,陈龙,鹏华基金,"鹏华中证500ETF联接A,鹏华中证500ETF联接C,鹏华空天军工指数(LOF)C,鹏华国防C,鹏华券商C,鹏华中证畜牧养殖ETF,鹏华中证500ETF,鹏华国证证券龙头ETF,鹏华证券保险指数(LOF),鹏华国防A,鹏华券商A,鹏华空天军工指数(LOF)A",1943,135.78,69.25
39,陈利,华泰证券(上海)资产管理,"华泰紫金天天金交易型货币B,华泰紫金零钱宝货币,华泰紫金周周购12个月滚动债发起A,华泰紫金周周购12个月滚动债发起C,华泰紫金丰安27个月定开债券A,华泰紫金丰安27个月定开债券C,华泰紫金天天金交易型货币A",1798,110.53,9.12
40,陈黎,博时基金,"博时月月薪定期支付债券,博时裕丰纯债3个月定开债,博时裕达纯债债券,博时裕康纯债债券,博时裕景纯债,博时安怡6个月,博时裕利纯债债券,博时聚盈纯债债券,博时聚润纯债债券,博时景发纯债债券,博时富祥纯债债券A,博时慧选纯债定开债,博时裕鹏纯债债券,博时富元纯债债券,博时富兴纯债3个月定开债发起式,博时富融纯债债券,博时富顺纯债债券,博时富信纯债债券,博时稳悦63个月定开债,博时富祥纯债债券C",1284,396.53,15.64
41,崔蕾,南方基金,"南方大数据300A,南方大数据300C,南方中证500量化增强A,南方中证500量化增强C,南方有色金属ETF联接A,南方有色金属ETF联接C,南方大盘红利50ETF联接A,南方大盘红利50ETF联接C,南方粤港澳大湾区ETF联接A,南方粤港澳大湾区ETF联接C,南方有色金属ETF联接E,南方中证1000联接A,南方中证1000联接C,南方中证科创创业50ETF联接A,南方中证科创创业50ETF联接C,南方国证在线消费ETF,南方中证科创创业50ETF,南方粤港澳大湾区ETF,南方中证1000ETF,南方中证申万有色金属ETF,南方顶峰TOPIX-ETF,南方中国A股大盘红利低波50ETF",1071,123.58,114.25
42,陈乐,南方基金,"南方利淘A,南方利鑫A,南方利鑫C,南方利淘C,南方瑞利灵活配置混合,南方誉丰18个月混合A,南方誉丰18个月混合C,南方誉隆一年混合A,南方誉隆一年混合C,南方誉尚一年持有期混合A,南方誉尚一年持有期混合C,南方宝顺混合A,南方宝顺混合C,南方誉享一年持有期混合A,南方誉享一年持有期混合C,南方誉浦一年持有混合A,南方誉浦一年持有混合C,南方永元一年持有债券A,南方永元一年持有债券C",1384,207.56,78.5
43,陈岚,中信保诚基金,"中信保诚安鑫回报债券A,中信保诚安鑫回报债券C",441,7.47,4.81
44,陈荔,中融基金,"中融新机遇混合,中融鑫起点混合A,中融鑫起点混合C,中融融安混合二号,中融鑫思路混合A,中融鑫思路混合C,中融鑫价值混合A,中融鑫价值混合C,中融沪港深大消费主题A,中融沪港深大消费主题C",414,10.45,20.5
45,陈龙,华宝基金,"华宝绿色主题混合A,华宝绿色主题混合C",42,0.47,-5.97
46,陈令朝,鑫元基金,"鑫元鑫新收益灵活配置混合A,鑫元鑫新收益灵活配置混合C,鑫元行业轮动混合A,鑫元行业轮动混合C",1374,3.17,40.39
47,陈良栋,长城基金,"长城新兴产业混合,长城科创两年定开混合C,长城久富混合(LOF),长城科创两年定开混合A",2148,16.63,172.42
48,曹璐迪,富国基金,"富国中证价值ETF联接A,富国中证价值ETF联接C,富国中证科创创业50ETF联接A,富国中证科创创业50ETF联接C,富国中证稀土产业ETF,富国中证旅游主题ETF,富国创业板ETF,富国中证价值ETF,富国中证细分化工产业主题ETF,富国中证科创创业50ETF",512,49.35,50.87
49,陈乐华,新沃基金,"新沃通盈灵活配置混合,新沃创新领航混合A,新沃创新领航混合C,新沃内需增长混合A,新沃内需增长混合C",2038,4.35,112.43
50,陈林海,海富通基金,"海富通添鑫收益债券C,海富通添鑫收益债券A",168,0.29,2.46
1,蔡路平,西部利得基金,"西部利得深证红利ETF,西部利得创业板大盘ETF",64,3.77,-0.26
2,陈旻,申万宏源证券,申万红利成长灵活配置混合,268,1.79,-2.34
3,程敏,北信瑞丰,"北信瑞丰研究精选,北信瑞丰量化优选灵活配置,北信瑞丰优势行业股票",1298,3.26,90.78
4,蔡旻,长城基金,"长城恒康稳健养老一年(FOF),长城恒泰养老2040三年持有混合(FOF)",2418,2.78,0.94
5,陈蒙,西部利得基金,"西部利得人工智能主题指数增强A,西部利得人工智能主题指数增强C,西部利得景程混合A,西部利得景程混合C",229,5.63,13.38
6,曹名长,中欧基金,"中欧潜力价值灵活配置混合A,中欧价值发现混合E,中欧成长优选混合E,中欧价值发现混合C,中欧潜力价值灵活配置混合C,中欧价值发现混合A,中欧成长优选混合A,中欧恒利三年定期开放混合",5409,59.06,111.75
7,蔡目荣,华宝基金,"华宝价值发现混合,华宝资源优选混合C,华宝多策略增长开放,华宝资源优选混合A",3341,34.06,276.61
8,崔宁,上海光大证券资产管理,"光大阳光稳债中短债债券A,光大阳光稳债中短债债券C",80,16.33,0.81
9,成念良,景顺长城基金,"景顺长城政策性金融债,景顺长城景泰丰利纯债A,景顺长城景泰丰利纯债C,景顺长城景泰稳利定开债A,景顺长城景泰稳利定开债C,景顺长城弘利39个月定开债,景顺长城景泰裕利纯债债券,景顺长城中债1-3年国开行债券指数A,景顺长城中债1-3年国开行债券指数C,景顺长城景泰益利纯债债券",2134,241.06,33.2
10,陈鹏,安信基金,"安信新回报混合A,安信新回报混合C,安信成长精选混合A,安信成长精选混合C",4649,11.71,136.49
11,陈平,汇丰晋信基金,"汇丰晋信新动力混合,汇丰晋信创新先锋,汇丰晋信科技先锋股票",2273,11.94,78.19
12,陈鹏辉,浙商基金,"浙商智选经济动能混合A,浙商智选经济动能混合C,浙商智选家居股票A,浙商智选家居股票C,浙商智选食品饮料股票A,浙商智选食品饮料股票C,浙商聚潮新思维混合",806,21.49,127
13,陈鹏扬,博时基金,"博时裕隆灵活配置混合A,博时成长优选两年封闭混合A,博时成长优选两年封闭混合C,博时荣升稳健添利混合A,博时荣升稳健添利混合C,博时价值臻选持有期混合A,博时价值臻选持有期混合C,博时成长领航混合A,博时成长领航混合C,博时恒悦6个月持有混合A,博时恒悦6个月持有混合C,博时成长精选混合A,博时成长精选混合C,博时乐享混合A,博时乐享混合C,博时成长优势混合A,博时成长优势混合C,博时裕隆灵活配置混合C",2243,239.3,193.58
14,曹庆,中庚基金,中庚价值先锋股票,2259,38.54,-1.58
15,蔡青,中信证券,"中信证券稳健回报混合A,中信证券信远一年持有混合A,中信证券信远一年持有混合B,中信证券稳健回报混合C,中信证券信远一年持有混合C",1351,15.76,8.59
16,陈奇,华富基金,"华富国泰民安灵活配置混合,华富物联世界灵活配置混合,华富产业升级灵活配置混合,华富新能源股票型发起式",724,5.61,111.8
17,陈启明,华富基金,"华富产业升级灵活配置混合,华富天鑫灵活配置混合A,华富天鑫灵活配置混合C,华富成长企业精选股票,华富成长趋势混合,华富价值增长混合",2575,27.81,353.45
18,蔡荣成,易方达基金,"易方达策略成长混合,易方达策略成长二号混合",899,24.59,32.51
19,陈若劲,红土创新基金,"红土创新增强收益债券A,红土创新增强收益债券C,红土创新稳健混合A,红土创新稳健混合C,红土创新稳进混合A,红土创新稳进混合C",4303,5.19,35.6
20,蔡若林,汇丰晋信基金,"汇丰晋信慧盈混合,汇丰晋信惠安纯债63个月定开债,汇丰晋信2016周期混合,汇丰晋信平稳增利中短债A,汇丰晋信平稳增利中短债C",2084,47.32,22.81
