,序号,姓名,所属公司,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
44,45,陈鹄飞,中银基金,"中银丰实定开债,中银利享定期开放债券,中银添盛39个月定期开放债券,中银嘉享3个月定开债",2 ,169.53,8.04
45,46,陈国光,天弘基金,"天弘互联网混合,天弘新价值混合,天弘策略精选混合A,天弘策略精选混合C,天弘弘新混合发起式,天弘创新领航A,天弘创新领航C,天弘创新成长混合发起式A,天弘创新成长混合发起式C",9 ,39.85,85.67
46,47,陈顾君,浙商证券资管,浙商汇金中证转型成长指数,2 ,0.1,22.7
47,48,车广路,湘财基金,"湘财长顺混合发起式A,湘财长顺混合发起式C,湘财长源股票型A,湘财长源股票型C,湘财长兴灵活配置混合A,湘财长兴灵活配置混合C,湘财长泽灵活配置混合A,湘财长泽灵活配置混合C,湘财长弘灵活配置混合A,湘财长弘灵活配置混合C,湘财创新成长一年持有期混合A,湘财创新成长一年持有期混合C",9 ,13.85,90.03
48,49,蔡国亮,兴银基金,兴银消费新趋势灵活配置,1 ,0.07,-4.1
49,50,陈亘斯,长盛基金,"长盛同鑫行业配置混合C,长盛同鑫行业配置混合A,长盛中小盘精选混合,长盛同庆中证800(LOF),长盛沪深300指数(LOF),长盛中证金融地产指数(LOF),长盛中证申万一带一路指数(LOF),长盛上证50指数(LOF),长盛中证全指证券指数(LOF),长盛中证100指数",2 ,20.75,91.73
50,1,陈皓,易方达基金,"易方达新经济混合,易方达均衡成长股票,易方达港股通成长混合A,易方达港股通成长混合C,易方达平稳增长混合,易方达科翔混合,易方达科讯混合,易方达创新未来18个月封闭混合",9 ,391.63,565.75
51,2,陈恒,华商基金,"华商新动力混合,华商医药医疗行业股票",4 ,2.72,42.32
52,3,陈涵,工银瑞信基金,"工银全球美元债A人民币,工银全球美元债A美元现汇,工银全球美元债C,工银瑞信添慧债券A,工银瑞信添慧债券C,工银3-5年国开债指数A,工银3-5年国开债指数C,工银1-3年国开债指数A,工银1-3年国开债指数C,工银1-3年农发债指数A,工银1-3年农发债指数C,工银中债1-5年进出口行A,工银中债1-5年进出口行C,工银彭博国开债1-3年指数A,工银彭博国开债1-3年指数C,工银彭博国开债1-3年指数E,工银1-3年农发债指数E,工银中债1-5年进出口行E,工银3-5年国开债指数E,工银1-3年国开债指数E,工银稳健回报60天持有期短债A,工银稳健回报60天持有期短债C",2 ,173.4,13.83
53,4,陈红,兴证全球基金,"兴全汇虹一年持有混合A,兴全汇虹一年持有混合C,兴全汇吉一年持有混合A,兴全汇吉一年持有混合C",1 ,51.47,17.7
54,5,陈皓,北信瑞丰,"北信瑞丰宜投宝A,北信瑞丰宜投宝B,北信瑞丰现金添利A,北信瑞丰现金添利B,北信瑞丰丰利混合",1 ,54.24,5.97
55,6,程卉超,合煦智远基金,"合煦智远消费主题股票发起式A,合煦智远消费主题股票发起式C,合煦智远金融科技指数(LOF)A,合煦智远金融科技指数(LOF)C",2 ,1.34,20.32
56,7,陈鸿平,中邮基金,中邮沪港深精选混合,3 ,0.05,13.87
57,8,陈会荣,大成基金,"大成丰财宝货币A,大成丰财宝货币B,大成添利宝货币A,大成添利宝货币B,大成添利宝货币E,大成月添利一个月滚动持有中短债E,大成惠益纯债,大成惠祥纯债债券,大成惠享一年定开债券,大成货币A,大成月添利一个月滚动持有中短债A,大成现金增利货币A,大成货币B,大成月添利一个月滚动持有中短债B,大成现金增利货币B",5 ,599.43,16.57
58,9,曹晋,富国基金,"富国中小盘精选混合,富国成长动力混合,富国匠心精选12个月持有混合A,富国匠心精选12个月持有混合C,富国通胀通缩主题轮动混合,富国创业板两年定开混合",8 ,91.1,229.2
59,10,陈军,东吴基金,"东吴兴享成长混合A,东吴兴享成长混合C",14 ,18.58,10.65
60,11,成钧,平安基金,"平安股息精选沪港深A,平安股息精选沪港深C,平安300ETF联接A,平安300ETF联接C,平安MSCI中国A股ETF联接A,平安MSCI中国A股ETF联接C,平安500ETF联接A,平安500ETF联接C,平安中证新能车ETF联接A,平安中证新能车ETF联接C,平安中证光伏产业指数A,平安中证光伏产业指数C,平安创业板ETF,平安中债-0-5年地方债ETF,平安沪深300ETF,平安中证500ETF,平安中证5-10年国债活跃券ETF,平安中债债利差因子ETF,平安MSCI中国A股国际ETF,平安粤港澳大湾区ETF",4 ,124.57,100.01
61,12,蔡静,中银基金,"中银薪钱包货币,中银机构现金管理货币,中银瑞福浮动净值型货币A,中银瑞福浮动净值型货币C,中银货币A,中银货币B",2 ,603.67,3.34
62,13,崔建波,方正富邦基金,"方正富邦新兴成长混合A,方正富邦新兴成长混合C,方正富邦策略精选A,方正富邦策略精选C,方正富邦汇福一年定开混合A,方正富邦汇福一年定开混合C,方正富邦趋势领航混合A,方正富邦趋势领航混合C",11 ,15.91,25.65
63,14,陈健宾,景顺长城基金,"景顺长城领先回报混合A,景顺长城领先回报混合C,景顺长城景盈双利债券A,景顺长城景盈双利债券C,景顺长城景颐丰利债券A,景顺长城景颐丰利债券C,景顺长城睿成混合A,景顺长城睿成混合C,景顺长城泰恒回报混合A,景顺长城泰恒回报混合C,景顺长城景泰聚利纯债,景顺长城景泰纯利债券,景顺长城景泰优利一年定开纯债",1 ,55.99,8.63
64,15,陈锦达,红土创新基金,盐港REIT,0 ,,
65,16,陈健夫,摩根士丹利华鑫基金,"大摩量化配置混合C,大摩量化配置混合A",3 ,2.46,56.69
66,17,陈建华,华宝基金,"华宝中证100指数C,华宝中证细分化工产业主题ETF联接A,华宝中证细分化工产业主题ETF联接C,华宝中证金融科技主题ETF,华宝有色金属ETF,华宝中证100指数A,华宝化工ETF,华宝新材料ETF,华宝智能电动汽车ETF",9 ,21.17,176.42
67,18,陈俊华,交银施罗德基金,"交银核心资产混合,交银鸿福六个月持有混合A,交银鸿福六个月持有混合C,交银鸿光一年混合A,交银鸿光一年混合C,交银鸿信一年持有期混合A,交银鸿信一年持有期混合C,交银鸿泰一年持有期混合A,交银鸿泰一年持有期混合C,交银环球精选混合(QDII),交银沪港深价值精选混合",6 ,91.09,154.76
68,19,陈建华,国联安基金,"国联安鑫乾混合A,国联安鑫乾混合C,国联安鑫隆混合A,国联安鑫隆混合C,国联安恒利63个月定开债A,国联安恒利63个月定开债C,国联安增盛一年定开债,国联安增泰一年定开债发起式,国联安鑫稳3个月持有混合A,国联安鑫稳3个月持有混合C,国联安增利债券A,国联安增利债券B",3 ,101.32,93.59
69,20,曹建华,鑫元基金,"鑫元恒鑫收益增强债券型发起式A,鑫元恒鑫收益增强债券型发起式C,鑫元聚鑫收益增强债A,鑫元聚鑫收益增强债C",0 ,0.41,4.27
70,21,崔俊杰,景顺长城基金,"景顺长城研究精选股票,景顺中证科技传媒通信150ETF联接,景顺长城睿成混合A,景顺长城睿成混合C,景顺长城支柱产业混合,景顺中证科技传媒通信150ETF,景顺长城中证港股通科技ETF",8 ,21.72,20.52
71,22,陈纪靖,红塔红土,"红塔红土瑞祥纯债A,红塔红土瑞祥纯债C,红塔红土盛兴39个月定开债A,红塔红土盛兴39个月定开债C,红塔红土瑞景纯债A,红塔红土瑞景纯债C",3 ,24.25,4.66
72,23,陈建军,创金合信基金,"创金合信消费主题股票A,创金合信消费主题股票C",2 ,2.22,86.51
73,24,陈建良,建信基金,"建信嘉薪宝货币A,建信现金添利货币A,建信嘉薪宝货币B,建信现金增利货币A,建信现金添益货币A,建信现金添利货币B,建信货币B,建信天添益货币A,建信天添益货币B,建信天添益货币C,建信结算宝货币,建信短债债券F,建信现金增利货币B,建信现金添益货币C,建信鑫悦90天滚动中短债A,建信鑫悦90天滚动中短债C,建信现金添益货币H,建信货币A,建信短债债券C,建信短债债券A",8 ,4453.53,27.01
74,25,蔡健林,汇添富基金,"汇添富养老2030混合(FOF),汇添富养老2040五年持有混合(FOF),汇添富养老2050混合(FOF),汇添富添福盈和稳健养老一年持有混合(FOF),汇添富添福睿选稳健养老目标一年持有混合(FOF),汇添富添福汇盈稳健养老目标一年持有混合(FOF)",3 ,28.33,70.44
75,26,陈觉平,东方红资产管理,"东方红鑫裕两年定开信用债,东方红鑫安39个月定开债券,东方红招盈甄选一年混合A,东方红招盈甄选一年混合C,东方红明鉴优选两年定开混合,东方红锦和甄选18个月持有混合A,东方红锦和甄选18个月持有混合C,东方红创新优选定开混合,东方红均衡优选定开混合",3 ,139.07,38.1
76,27,陈健玮,汇添富基金,"汇添富沪港深大盘价值混合,汇添富沪港深优势定开",4 ,12.89,56.62
77,28,陈金伟,宝盈基金,"宝盈新兴产业混合A,宝盈优势产业混合A,宝盈国家安全沪港深股票,宝盈优势产业混合C,宝盈新兴产业混合C",1 ,28.98,72.17
78,29,陈佳昀,万家基金,"万家现金宝A,万家鑫瑞纯债A,万家鑫瑞纯债E,万家现金宝B,万家可转债债券A,万家可转债债券C,万家惠裕回报6个月持有期混合A,万家惠裕回报6个月持有期混合C,万家添利债券(LOF),万家稳健增利债券A,万家稳健增利债券C",4 ,245.02,41.56
79,30,程琨,广发基金,"广发逆向策略混合A,广发优企精选混合A,广发优企精选混合C,广发价值驱动混合A,广发价值驱动混合C,广发逆向策略混合C,广发价值增长混合A,广发价值增长混合C,广发核心精选混合,广发行业领先混合A",9 ,84.57,224.48
80,31,蔡卡尔,富国基金,"富国中证医药主题指数增强C,富国港股通量化精选股票型,富国中证港股通互联网ETF,富国细分机械设备产业主题ETF,富国中证医药主题指数增强A,富国中证高端制造指数增强型,富国中证大数据产业ETF,富国中证ESG120策略ETF,富国沪深300ESG基准ETF,富国中证新华社民族品牌工程ETF",5 ,19.67,135.38
81,32,陈凯杨,博时基金,"博时双月薪定期支付债券,博时聚瑞6个月定开债,博时富益纯债债券,博时富乐纯债债券,博时富信纯债债券,博时恒玺一年持有期混合A,博时恒玺一年持有期混合C,博时双月享60天滚动持有债券A,博时双月享60天滚动持有债券C,博时稳定价值债券B,博时稳定价值债券A,博时安康定开债(LOF)",9 ,94.42,82.82
82,33,陈立,金鹰基金,"金鹰内需成长混合A,金鹰内需成长混合C,金鹰产业升级混合A,金鹰产业升级混合C,金鹰稳健成长混合,金鹰主题优势混合",8 ,58.5,296.49
83,34,陈梁,中邮基金,"中邮消费升级,中邮瑞享两年定开混合A,中邮瑞享两年定开混合C,中邮睿丰增强债券A,中邮睿丰增强债券C,中邮核心优选混合,中邮核心主题混合",7 ,56.35,108.14
84,35,陈龙,鹏华基金,"鹏华中证500ETF联接A,鹏华中证500ETF联接C,鹏华空天军工指数(LOF)C,鹏华国防C,鹏华券商C,鹏华中证畜牧养殖ETF,鹏华中证500ETF,鹏华国证证券龙头ETF,鹏华证券保险指数(LOF),鹏华国防A,鹏华券商A,鹏华空天军工指数(LOF)A",5 ,135.78,86.88
85,36,陈雷,博时基金,"博时内需增长混合A,博时内需增长混合C,博时行业轮动混合",7 ,6.72,178.98
86,37,陈利,华泰证券(上海)资产管理,"华泰紫金天天金交易型货币B,华泰紫金零钱宝货币,华泰紫金周周购12个月滚动债发起A,华泰紫金周周购12个月滚动债发起C,华泰紫金丰安27个月定开债券A,华泰紫金丰安27个月定开债券C,华泰紫金天天金交易型货币A",5 ,110.53,8.9
87,38,常璐,太平基金,"太平灵活配置,太平智选一年定开股票,太平智行三个月定开混合发起式",2 ,36.71,44.66
88,39,陈乐,南方基金,"南方利淘A,南方利鑫A,南方利鑫C,南方利淘C,南方瑞利灵活配置混合,南方誉丰18个月混合A,南方誉丰18个月混合C,南方誉隆一年混合A,南方誉隆一年混合C,南方誉尚一年持有期混合A,南方誉尚一年持有期混合C,南方宝顺混合A,南方宝顺混合C,南方誉享一年持有期混合A,南方誉享一年持有期混合C,南方誉浦一年持有混合A,南方誉浦一年持有混合C",4 ,207.56,79.27
89,40,陈黎,博时基金,"博时月月薪定期支付债券,博时裕丰纯债3个月定开债,博时裕达纯债债券,博时裕康纯债债券,博时裕景纯债,博时安怡6个月,博时裕利纯债债券,博时聚盈纯债债券,博时聚润纯债债券,博时景发纯债债券,博时富祥纯债债券A,博时慧选纯债定开债,博时裕鹏纯债债券,博时富元纯债债券,博时富兴纯债3个月定开债发起式,博时富融纯债债券,博时富顺纯债债券,博时富信纯债债券,博时稳悦63个月定开债,博时富祥纯债债券C",3 ,396.53,15.6
90,41,崔蕾,南方基金,"南方大数据300A,南方大数据300C,南方中证500量化增强A,南方中证500量化增强C,南方有色金属ETF联接A,南方有色金属ETF联接C,南方大盘红利50ETF联接A,南方大盘红利50ETF联接C,南方粤港澳大湾区ETF联接A,南方粤港澳大湾区ETF联接C,南方有色金属ETF联接E,南方中证1000联接A,南方中证1000联接C,南方中证科创创业50ETF联接A,南方中证科创创业50ETF联接C,南方中证科创创业50ETF,南方粤港澳大湾区ETF,南方中证1000ETF,南方中证申万有色金属ETF,南方顶峰TOPIX-ETF,南方中国A股大盘红利低波50ETF",3 ,121.53,148.42
91,42,陈岚,中信保诚基金,"中信保诚安鑫回报债券A,中信保诚安鑫回报债券C",1 ,7.47,7.73
92,43,陈荔,中融基金,"中融新机遇混合,中融鑫起点混合A,中融鑫起点混合C,中融融安混合二号,中融鑫思路混合A,中融鑫思路混合C,中融鑫价值混合A,中融鑫价值混合C,中融沪港深大消费主题A,中融沪港深大消费主题C",1 ,10.45,34.97
93,44,陈龙,华宝基金,"华宝绿色主题混合A,华宝绿色主题混合C",0 ,0.47,1.98
94,45,陈令朝,鑫元基金,"鑫元鑫新收益灵活配置混合A,鑫元鑫新收益灵活配置混合C,鑫元行业轮动混合A,鑫元行业轮动混合C",4 ,3.17,46.57
95,46,陈良栋,长城基金,"长城新兴产业混合,长城科创两年定开混合C,长城久富混合(LOF),长城科创两年定开混合A",6 ,16.63,187.84
96,47,曹璐迪,富国基金,"富国中证价值ETF联接A,富国中证价值ETF联接C,富国中证科创创业50ETF联接A,富国中证科创创业50ETF联接C,富国中证稀土产业ETF,富国中证旅游主题ETF,富国创业板ETF,富国中证价值ETF,富国中证细分化工产业主题ETF,富国中证科创创业50ETF",1 ,49.35,58.57
97,48,陈乐华,新沃基金,"新沃通盈灵活配置混合,新沃创新领航混合A,新沃创新领航混合C,新沃竞争优势混合A,新沃竞争优势混合C,新沃内需增长混合A,新沃内需增长混合C",6 ,1.99,114.91
98,49,陈林海,海富通基金,"海富通添鑫收益债券C,海富通添鑫收益债券A",0 ,0.29,4.78
99,50,蔡路平,西部利得基金,"西部利得深证红利ETF,西部利得创业板大盘ETF",0 ,3.77,-2.47
100,1,蔡旻,长城基金,"长城恒康稳健养老一年(FOF),长城恒泰养老2040三年持有混合(FOF)",7 ,2.78,-0.48
101,2,程敏,北信瑞丰,"北信瑞丰研究精选,北信瑞丰量化优选灵活配置,北信瑞丰优势行业股票",4 ,1.15,116.06
102,3,陈旻,申万宏源证券,申万红利成长灵活配置混合,1 ,1.79,0.88
103,4,陈蒙,西部利得基金,"西部利得人工智能主题指数增强A,西部利得人工智能主题指数增强C,西部利得景程混合A,西部利得景程混合C",1 ,5.63,13.69
104,5,曹名长,中欧基金,"中欧潜力价值灵活配置混合A,中欧价值发现混合E,中欧成长优选混合E,中欧价值发现混合C,中欧潜力价值灵活配置混合C,中欧价值发现混合A,中欧成长优选混合A,中欧恒利三年定期开放混合",15 ,59.06,111.86
105,6,蔡目荣,华宝基金,"华宝价值发现混合,华宝资源优选混合C,华宝多策略增长开放,华宝资源优选混合A",9 ,34.06,325.73
106,7,崔宁,上海光大证券资产管理,"光大阳光稳债中短债债券A,光大阳光稳债中短债债券C",0 ,16.33,0.54
107,8,成念良,景顺长城基金,"景顺长城政策性金融债,景顺长城景泰丰利纯债A,景顺长城景泰丰利纯债C,景顺长城景泰稳利定开债A,景顺长城景泰稳利定开债C,景顺长城弘利39个月定开债,景顺长城景泰裕利纯债债券,景顺长城中债1-3年国开行债券指数A,景顺长城中债1-3年国开行债券指数C,景顺长城景泰益利纯债债券",6 ,241.06,33.35
108,9,陈平,汇丰晋信基金,"汇丰晋信新动力混合,汇丰晋信创新先锋,汇丰晋信科技先锋股票",6 ,11.94,84.07
109,10,陈鹏,安信基金,"安信新回报混合A,安信新回报混合C,安信成长精选混合A,安信成长精选混合C",13 ,11.71,138.63
110,11,陈鹏辉,浙商基金,"浙商智选经济动能混合A,浙商智选经济动能混合C,浙商智选家居股票A,浙商智选家居股票C,浙商智选食品饮料股票A,浙商智选食品饮料股票C,浙商聚潮新思维混合",2 ,21.49,133.39
111,12,陈鹏扬,博时基金,"博时裕隆灵活配置混合A,博时成长优选两年封闭混合A,博时成长优选两年封闭混合C,博时荣升稳健添利混合A,博时荣升稳健添利混合C,博时价值臻选持有期混合A,博时价值臻选持有期混合C,博时成长领航混合A,博时成长领航混合C,博时恒悦6个月持有混合A,博时恒悦6个月持有混合C,博时成长精选混合A,博时成长精选混合C,博时乐享混合A,博时乐享混合C,博时成长优势混合A,博时成长优势混合C,博时裕隆灵活配置混合C",6 ,239.3,192.4
112,13,曹庆,中庚基金,中庚价值先锋股票,6 ,38.54,0.75
113,14,蔡青,中信证券,"中信证券稳健回报混合A,中信证券信远一年持有混合A,中信证券信远一年持有混合B,中信证券稳健回报混合C,中信证券信远一年持有混合C",4 ,15.76,28.04
114,15,陈奇,华富基金,"华富国泰民安灵活配置混合,华富物联世界灵活配置混合,华富产业升级灵活配置混合",2 ,3.44,119.98
115,16,陈启明,华富基金,"华富产业升级灵活配置混合,华富天鑫灵活配置混合A,华富天鑫灵活配置混合C,华富成长企业精选股票,华富成长趋势混合,华富价值增长混合",7 ,27.81,356.64
116,17,蔡荣成,易方达基金,"易方达策略成长混合,易方达策略成长二号混合",2 ,24.59,42.69
117,18,陈若劲,红土创新基金,"红土创新增强收益债券A,红土创新增强收益债券C,红土创新稳健混合A,红土创新稳健混合C,红土创新稳进混合A,红土创新稳进混合C",12 ,5.19,34.89
118,19,蔡若林,汇丰晋信基金,"汇丰晋信慧盈混合,汇丰晋信惠安纯债63个月定开债,汇丰晋信2016周期混合,汇丰晋信平稳增利中短债A,汇丰晋信平稳增利中短债C",6 ,47.32,23.43
119,20,车日楠,东方基金,"东方臻享纯债债券A,东方臻享纯债债券C,东方臻选纯债债券A,东方臻选纯债债券C,东方永泰纯债1年A,东方永泰纯债1年C,东方永悦18个月定开债券A,东方永悦18个月定开债券C,东方臻萃3个月定开债券A,东方臻萃3个月定开债券C,东方臻善纯债债券A,东方臻善纯债债券C",1 ,51.05,13.11
120,21,陈茸茸,中金基金,中金普洛斯REITs,0 ,,
