净值日期,单位净值,累计净值,日增长率,情绪指数
2010/12/4,1.014,1.014,0,0
2010/12/5,1.014,1.014,0,0
2010/12/6,1.002,1.002,-1.1834,0
2010/12/7,1.009,1.009,0.6986,0
2010/12/8,1.008,1.008,-0.0991,0
2010/12/9,0.993,0.993,-1.4881,1
2010/12/10,0.999,0.999,0.6042,0
2010/12/11,0.999,0.999,0,0
2010/12/12,0.999,0.999,0,0
2010/12/13,1.018,1.018,1.9019,0
2010/12/14,1.021,1.021,0.2947,0
2010/12/15,1.016,1.016,-0.4897,1
2010/12/16,1.013,1.013,-0.2953,0
2010/12/17,1.01,1.01,-0.2962,0
2010/12/18,1.01,1.01,0,0
2010/12/19,1.01,1.01,0,0
2010/12/20,1.002,1.002,-0.7921,1
2010/12/21,1.004,1.004,0.1996,0
2010/12/22,0.995,0.995,-0.8964,0
2010/12/23,0.985,0.985,-1.005,0
2010/12/24,0.975,0.975,-1.0152,0
2010/12/25,0.975,0.975,0,0
2010/12/26,0.975,0.975,0,0
2010/12/27,0.958,0.958,-1.7436,0
2010/12/28,0.952,0.952,-0.6263,0
2010/12/29,0.963,0.963,1.1555,0
2010/12/30,0.966,0.966,0.3115,0
2010/12/31,0.983,0.983,1.7598,0
2011/1/1,0.983,0.983,0,0
2011/1/2,0.983,0.983,0,0
2011/1/3,0.983,0.983,0,0
2011/1/4,0.986,0.986,0.3052,0
2011/1/5,0.98,0.98,-0.6085,0
2011/1/6,0.975,0.975,-0.5102,0
2011/1/7,0.971,0.971,-0.4103,0
2011/1/8,0.971,0.971,0,0
2011/1/9,0.971,0.971,0,0
2011/1/10,0.952,0.952,-1.9567,0
2011/1/11,0.95,0.95,-0.2101,1
2011/1/12,0.951,0.951,0.1053,0
2011/1/13,0.957,0.957,0.6309,0
2011/1/14,0.948,0.948,-0.9404,0
2011/1/15,0.948,0.948,0,0
2011/1/16,0.948,0.948,0,0
2011/1/17,0.918,0.918,-3.1646,0
2011/1/18,0.927,0.927,0.9804,0
2011/1/19,0.94,0.94,1.4024,1
2011/1/20,0.916,0.916,-2.5532,0
2011/1/21,0.911,0.911,-0.5459,0
2011/1/22,0.911,0.911,0,0
2011/1/23,0.911,0.911,0,0
2011/1/24,0.894,0.894,-1.8661,0
2011/1/25,0.887,0.887,-0.783,0
2011/1/26,0.897,0.897,1.1274,0
2011/1/27,0.905,0.905,0.8919,0
2011/1/28,0.915,0.915,1.105,1
2011/1/29,0.915,0.915,0,0
2011/1/30,0.915,0.915,0,1
2011/1/31,0.923,0.923,0.8743,0
2011/2/1,0.921,0.921,-0.2167,0
2011/2/2,0.921,0.921,0,0
2011/2/3,0.921,0.921,0,0
2011/2/4,0.921,0.921,0,0
2011/2/5,0.921,0.921,0,0
2011/2/6,0.921,0.921,0,0
2011/2/7,0.921,0.921,0,0
2011/2/8,0.921,0.921,0,0
2011/2/9,0.918,0.918,-0.3257,0
2011/2/10,0.94,0.94,2.3965,0
2011/2/11,0.949,0.949,0.9574,0
2011/2/12,0.949,0.949,0,0
2011/2/13,0.949,0.949,0,0
2011/2/14,0.962,0.962,1.3699,0
2011/2/15,0.957,0.957,-0.5198,0
2011/2/16,0.962,0.962,0.5225,1
2011/2/17,0.956,0.956,-0.6237,0
2011/2/18,0.952,0.952,-0.4184,0
2011/2/19,0.952,0.952,0,0
2011/2/20,0.952,0.952,0,0
2011/2/21,0.967,0.967,1.5756,0
2011/2/22,0.949,0.949,-1.8614,0
2011/2/23,0.952,0.952,0.3161,0
2011/2/24,0.951,0.951,-0.105,0
2011/2/25,0.954,0.954,0.3155,0
2011/2/26,0.954,0.954,0,0
2011/2/27,0.954,0.954,0,0
2011/2/28,0.967,0.967,1.3627,0
2011/3/1,0.975,0.975,0.8273,0
2011/3/2,0.977,0.977,0.2051,0
2011/3/3,0.964,0.964,-1.3306,1
2011/3/4,0.972,0.972,0.8299,0
2011/3/5,0.972,0.972,0,1
2011/3/6,0.972,0.972,0,0
2011/3/7,0.981,0.981,0.9259,0
2011/3/8,0.986,0.986,0.5097,0
2011/3/9,0.987,0.987,0.1014,0
2011/3/10,0.985,0.985,-0.2026,0
2011/3/11,0.979,0.979,-0.6091,0
2011/3/12,0.979,0.979,0,0
2011/3/13,0.979,0.979,0,0
2011/3/14,0.987,0.987,0.8172,0
2011/3/15,0.97,0.97,-1.7224,0
2011/3/16,0.98,0.98,1.0309,0
2011/3/17,0.964,0.964,-1.6327,0
2011/3/18,0.965,0.965,0.1037,0
2011/3/19,0.965,0.965,0,0
2011/3/20,0.965,0.965,0,0
2011/3/21,0.957,0.957,-0.829,0
2011/3/22,0.956,0.956,-0.1045,0
2011/3/23,0.964,0.964,0.8368,1
2011/3/24,0.961,0.961,-0.3112,0
2011/3/25,0.964,0.964,0.3122,0
2011/3/26,0.964,0.964,0,0
2011/3/27,0.964,0.964,0,0
2011/3/28,0.951,0.951,-1.3485,0
2011/3/29,0.934,0.934,-1.7876,1
2011/3/30,0.931,0.931,-0.3212,0
2011/3/31,0.929,0.929,-0.2148,0
2011/4/1,0.933,0.933,0.4306,1
2011/4/2,0.933,0.933,0,0
2011/4/3,0.933,0.933,0,0
2011/4/4,0.933,0.933,0,0
2011/4/5,0.933,0.933,0,0
2011/4/6,0.924,0.924,-0.9646,0
2011/4/7,0.93,0.93,0.6494,0
2011/4/8,0.943,0.943,1.3978,0
2011/4/9,0.943,0.943,0,0
2011/4/10,0.943,0.943,0,0
2011/4/11,0.935,0.935,-0.8484,1
2011/4/12,0.936,0.936,0.107,1
2011/4/13,0.95,0.95,1.4957,0
2011/4/14,0.948,0.948,-0.2105,0
2011/4/15,0.946,0.946,-0.211,0
2011/4/16,0.946,0.946,0,0
2011/4/17,0.946,0.946,0,0
2011/4/18,0.945,0.945,-0.1057,0
2011/4/19,0.947,0.947,0.2116,0
2011/4/20,0.954,0.954,0.7392,0
2011/4/21,0.956,0.956,0.2096,0
2011/4/22,0.953,0.953,-0.3138,0
2011/4/23,0.953,0.953,0,1
2011/4/24,0.953,0.953,0,0
2011/4/25,0.962,0.962,0.9444,0
2011/4/26,0.95,0.95,-1.2474,0
2011/4/27,0.944,0.944,-0.6316,0
2011/4/28,0.924,0.924,-2.1186,0
2011/4/29,0.935,0.935,1.1905,1
2011/4/30,0.935,0.935,0,0
2011/5/1,0.935,0.935,0,0
2011/5/2,0.935,0.935,0,0
2011/5/3,0.948,0.948,1.3904,0
2011/5/4,0.938,0.938,-1.0549,0
2011/5/5,0.95,0.95,1.2793,0
2011/5/6,0.955,0.955,0.5263,1
2011/5/7,0.955,0.955,0,0
2011/5/8,0.955,0.955,0,0
2011/5/9,0.958,0.958,0.3141,0
2011/5/10,0.955,0.955,-0.3132,0
2011/5/11,0.958,0.958,0.3141,0
2011/5/12,0.957,0.957,-0.1044,1
2011/5/13,0.956,0.956,-0.1045,0
2011/5/14,0.956,0.956,0,0
2011/5/15,0.956,0.956,0,0
2011/5/16,0.955,0.955,-0.1046,0
2011/5/17,0.947,0.947,-0.8377,0
2011/5/18,0.955,0.955,0.8448,0
2011/5/19,0.957,0.957,0.2094,0
2011/5/20,0.956,0.956,-0.1045,0
2011/5/21,0.956,0.956,0,0
2011/5/22,0.956,0.956,0,0
2011/5/23,0.928,0.928,-2.9289,0
2011/5/24,0.923,0.923,-0.5388,0
2011/5/25,0.912,0.912,-1.1918,0
2011/5/26,0.907,0.907,-0.5482,0
2011/5/27,0.894,0.894,-1.4333,0
2011/5/28,0.894,0.894,0,0
2011/5/29,0.894,0.894,0,0
2011/5/30,0.897,0.897,0.3356,0
2011/5/31,0.905,0.905,0.8919,0
2011/6/1,0.917,0.917,1.326,0
2011/6/2,0.914,0.914,-0.3272,0
2011/6/3,0.927,0.927,1.4223,0
2011/6/4,0.927,0.927,0,0
2011/6/5,0.927,0.927,0,0
2011/6/6,0.927,0.927,0,0
2011/6/7,0.93,0.93,0.3236,1
2011/6/8,0.932,0.932,0.2151,0
2011/6/9,0.918,0.918,-1.5021,0
2011/6/10,0.923,0.923,0.5447,0
2011/6/11,0.923,0.923,0,0
2011/6/12,0.923,0.923,0,0
2011/6/13,0.912,0.912,-1.1918,0
2011/6/14,0.92,0.92,0.8772,0
2011/6/15,0.915,0.915,-0.5435,0
2011/6/16,0.904,0.904,-1.2022,0
2011/6/17,0.898,0.898,-0.6637,1
2011/6/18,0.898,0.898,0,0
2011/6/19,0.898,0.898,0,0
2011/6/20,0.887,0.887,-1.2249,0
2011/6/21,0.898,0.898,1.2401,1
2011/6/22,0.904,0.904,0.6682,0
2011/6/23,0.914,0.914,1.1062,0
2011/6/24,0.928,0.928,1.5317,0
2011/6/25,0.928,0.928,0,0
2011/6/26,0.928,0.928,0,0
2011/6/27,0.936,0.936,0.8621,0
2011/6/28,0.935,0.935,-0.1068,0
2011/6/29,0.928,0.928,-0.7487,0
2011/6/30,0.939,0.939,1.1853,0
2011/7/1,0.941,0.941,0.213,0
2011/7/2,0.941,0.941,0,0
2011/7/3,0.941,0.941,0,0
2011/7/4,0.962,0.962,2.2317,0
2011/7/5,0.964,0.964,0.2079,1
2011/7/6,0.963,0.963,-0.1037,0
2011/7/7,0.973,0.973,1.0384,0
2011/7/8,0.976,0.976,0.3083,0
2011/7/9,0.976,0.976,0,0
2011/7/10,0.976,0.976,0,0
2011/7/11,0.989,0.989,1.332,0
2011/7/12,0.985,0.985,-0.4044,0
2011/7/13,1.001,1.001,1.6244,0
2011/7/14,0.996,0.996,-0.4995,0
2011/7/15,0.999,0.999,0.3012,1
2011/7/16,0.999,0.999,0,0
2011/7/17,0.999,0.999,0,0
2011/7/18,1.005,1.005,0.6006,0
2011/7/19,0.991,0.991,-1.393,0
2011/7/20,0.995,0.995,0.4036,0
2011/7/21,0.998,0.998,0.3015,0
2011/7/22,0.999,0.999,0.1002,0
2011/7/23,0.999,0.999,0,1
2011/7/24,0.999,0.999,0,0
2011/7/25,0.97,0.97,-2.9029,0
2011/7/26,0.973,0.973,0.3093,1
2011/7/27,0.985,0.985,1.2333,0
2011/7/28,0.984,0.984,-0.1015,0
2011/7/29,0.977,0.977,-0.7114,0
2011/7/30,0.977,0.977,0,0
2011/7/31,0.977,0.977,0,0
2011/8/1,0.974,0.974,-0.3071,0
2011/8/2,0.969,0.969,-0.5133,0
2011/8/3,0.976,0.976,0.7224,0
2011/8/4,0.982,0.982,0.6148,0
2011/8/5,0.977,0.977,-0.5092,0
2011/8/6,0.977,0.977,0,0
2011/8/7,0.977,0.977,0,0
2011/8/8,0.962,0.962,-1.5353,0
2011/8/9,0.968,0.968,0.6237,0
2011/8/10,0.982,0.982,1.4463,0
2011/8/11,1.008,1.008,2.6477,0
2011/8/12,1.01,1.01,0.1984,1
2011/8/13,1.01,1.01,0,0
2011/8/14,1.01,1.01,0,0
2011/8/15,1.011,1.011,0.099,1
2011/8/16,1.002,1.002,-0.8902,0
2011/8/17,1.001,1.001,-0.0998,1
2011/8/18,0.99,0.99,-1.0989,0
2011/8/19,0.99,0.99,0,0
2011/8/20,0.99,0.99,0,0
2011/8/21,0.99,0.99,0,0
2011/8/22,0.969,0.969,-2.1212,0
2011/8/23,0.975,0.975,0.6192,0
2011/8/24,0.973,0.973,-0.2051,0
2011/8/25,0.989,0.989,1.6444,0
2011/8/26,0.988,0.988,-0.1011,0
2011/8/27,0.988,0.988,0,0
2011/8/28,0.988,0.988,0,0
2011/8/29,0.992,0.992,0.4049,0
2011/8/30,0.987,0.987,-0.504,0
2011/8/31,0.988,0.988,0.1013,0
2011/9/1,0.98,0.98,-0.8097,0
2011/9/2,0.97,0.97,-1.0204,0
2011/9/3,0.97,0.97,0,0
2011/9/4,0.97,0.97,0,0
2011/9/5,0.961,0.961,-0.9278,0
2011/9/6,0.949,0.949,-1.2487,0
2011/9/7,0.965,0.965,1.686,1
2011/9/8,0.96,0.96,-0.5181,0
2011/9/9,0.952,0.952,-0.8333,0
2011/9/10,0.952,0.952,0,0
2011/9/11,0.952,0.952,0,0
2011/9/12,0.952,0.952,0,0
2011/9/13,0.943,0.943,-0.9454,0
2011/9/14,0.945,0.945,0.2121,0
2011/9/15,0.946,0.946,0.1058,0
2011/9/16,0.948,0.948,0.2114,0
2011/9/17,0.948,0.948,0,0
2011/9/18,0.948,0.948,0,0
2011/9/19,0.935,0.935,-1.3713,0
2011/9/20,0.933,0.933,-0.2139,0
2011/9/21,0.949,0.949,1.7149,0
2011/9/22,0.933,0.933,-1.686,0
2011/9/23,0.916,0.916,-1.8221,0
2011/9/24,0.916,0.916,0,0
2011/9/25,0.916,0.916,0,0
2011/9/26,0.9,0.9,-1.7467,0
2011/9/27,0.907,0.907,0.7778,0
2011/9/28,0.901,0.901,-0.6615,0
2011/9/29,0.889,0.889,-1.3319,0
2011/9/30,0.888,0.888,-0.1125,0
2011/10/1,0.888,0.888,0,0
2011/10/2,0.888,0.888,0,0
2011/10/3,0.888,0.888,0,0
2011/10/4,0.888,0.888,0,0
2011/10/5,0.888,0.888,0,0
2011/10/6,0.888,0.888,0,0
2011/10/7,0.888,0.888,0,0
2011/10/8,0.888,0.888,0,0
2011/10/9,0.888,0.888,0,0
2011/10/10,0.876,0.876,-1.3514,0
2011/10/11,0.869,0.869,-0.7991,0
2011/10/12,0.891,0.891,2.5316,0
2011/10/13,0.899,0.899,0.8979,0
2011/10/14,0.896,0.896,-0.3337,0
2011/10/15,0.896,0.896,0,0
2011/10/16,0.896,0.896,0,0
2011/10/17,0.907,0.907,1.2277,0
2011/10/18,0.897,0.897,-1.1025,0
2011/10/19,0.892,0.892,-0.5574,0
2011/10/20,0.873,0.873,-2.13,0
2011/10/21,0.868,0.868,-0.5727,0
2011/10/22,0.868,0.868,0,0
2011/10/23,0.868,0.868,0,0
2011/10/24,0.885,0.885,1.9585,0
2011/10/25,0.901,0.901,1.8079,0
2011/10/26,0.911,0.911,1.1099,0
2011/10/27,0.913,0.913,0.2195,0
2011/10/28,0.922,0.922,0.9858,0
2011/10/29,0.922,0.922,0,0
2011/10/30,0.922,0.922,0,0
2011/10/31,0.924,0.924,0.2169,1
2011/11/1,0.927,0.927,0.3247,1
2011/11/2,0.941,0.941,1.5102,0
2011/11/3,0.944,0.944,0.3188,0
2011/11/4,0.95,0.95,0.6356,1
2011/11/5,0.95,0.95,0,0
2011/11/6,0.95,0.95,0,0
2011/11/7,0.948,0.948,-0.2105,0
2011/11/8,0.943,0.943,-0.5274,0
2011/11/9,0.949,0.949,0.6363,0
2011/11/10,0.944,0.944,-0.5269,1
2011/11/11,0.943,0.943,-0.1059,0
2011/11/12,0.943,0.943,0,0
2011/11/13,0.943,0.943,0,0
2011/11/14,0.953,0.953,1.0604,0
2011/11/15,0.949,0.949,-0.4197,0
2011/11/16,0.934,0.934,-1.5806,0
2011/11/17,0.933,0.933,-0.1071,0
2011/11/18,0.921,0.921,-1.2862,0
2011/11/19,0.921,0.921,0,0
2011/11/20,0.921,0.921,0,0
2011/11/21,0.921,0.921,0,0
2011/11/22,0.924,0.924,0.3257,0
2011/11/23,0.924,0.924,0,0
2011/11/24,0.926,0.926,0.2165,0
2011/11/25,0.922,0.922,-0.432,0
2011/11/26,0.922,0.922,0,0
2011/11/27,0.922,0.922,0,0
2011/11/28,0.926,0.926,0.4338,0
2011/11/29,0.933,0.933,0.7559,0
2011/11/30,0.916,0.916,-1.8221,0
2011/12/1,0.924,0.924,0.8734,0
2011/12/2,0.914,0.914,-1.0823,0
2011/12/3,0.914,0.914,0,0
2011/12/4,0.914,0.914,0,0
2011/12/5,0.897,0.897,-1.86,0
2011/12/6,0.89,0.89,-0.7804,0
2011/12/7,0.892,0.892,0.2247,0
2011/12/8,0.891,0.891,-0.1121,0
2011/12/9,0.878,0.878,-1.459,1
2011/12/10,0.878,0.878,0,0
2011/12/11,0.878,0.878,0,0
2011/12/12,0.868,0.868,-1.139,0
2011/12/13,0.853,0.853,-1.7281,0
2011/12/14,0.847,0.847,-0.7034,1
2011/12/15,0.844,0.844,-0.3542,0
2011/12/16,0.855,0.855,1.3033,0
2011/12/17,0.855,0.855,0,0
2011/12/18,0.855,0.855,0,0
2011/12/19,0.855,0.855,0,0
2011/12/20,0.854,0.854,-0.117,1
2011/12/21,0.846,0.846,-0.9368,0
2011/12/22,0.847,0.847,0.1182,0
2011/12/23,0.85,0.85,0.3542,0
2011/12/24,0.85,0.85,0,0
2011/12/25,0.85,0.85,0,0
2011/12/26,0.84,0.84,-1.1765,0
2011/12/27,0.819,0.819,-2.5,0
2011/12/28,0.817,0.817,-0.2442,0
2011/12/29,0.823,0.823,0.7344,1
2011/12/30,0.835,0.835,1.4581,0
2011/12/31,0.835,0.835,0,0
2012/1/1,0.835,0.835,0,0
2012/1/2,0.835,0.835,0,0
2012/1/3,0.835,0.835,0,0
2012/1/4,0.811,0.811,-2.8743,0
2012/1/5,0.787,0.787,-2.9593,0
2012/1/6,0.785,0.785,-0.2541,1
2012/1/7,0.785,0.785,0,0
2012/1/8,0.785,0.785,0,0
2012/1/9,0.799,0.799,1.7834,0
2012/1/10,0.819,0.819,2.5031,0
2012/1/11,0.816,0.816,-0.3663,0
2012/1/12,0.807,0.807,-1.1029,1
2012/1/13,0.786,0.786,-2.6022,0
2012/1/14,0.786,0.786,0,0
2012/1/15,0.786,0.786,0,0
2012/1/16,0.759,0.759,-3.4351,1
2012/1/17,0.785,0.785,3.4256,1
2012/1/18,0.767,0.767,-2.293,0
2012/1/19,0.778,0.778,1.4342,0
2012/1/20,0.797,0.797,2.4422,0
2012/1/21,0.797,0.797,0,0
2012/1/22,0.797,0.797,0,0
2012/1/23,0.797,0.797,0,0
2012/1/24,0.797,0.797,0,0
2012/1/25,0.797,0.797,0,0
2012/1/26,0.797,0.797,0,0
2012/1/27,0.797,0.797,0,0
2012/1/28,0.797,0.797,0,0
2012/1/29,0.797,0.797,0,0
2012/1/30,0.791,0.791,-0.7528,0
2012/1/31,0.793,0.793,0.2528,1
2012/2/1,0.791,0.791,-0.2522,0
2012/2/2,0.797,0.797,0.7585,0
2012/2/3,0.804,0.804,0.8783,0
2012/2/4,0.804,0.804,0,0
2012/2/5,0.804,0.804,0,0
2012/2/6,0.811,0.811,0.8706,1
2012/2/7,0.801,0.801,-1.233,0
2012/2/8,0.812,0.812,1.3733,0
2012/2/9,0.815,0.815,0.3695,0
2012/2/10,0.814,0.814,-0.1227,1
2012/2/11,0.814,0.814,0,0
2012/2/12,0.814,0.814,0,0
2012/2/13,0.823,0.823,1.1057,0
2012/2/14,0.824,0.824,0.1215,0
2012/2/15,0.832,0.832,0.9709,0
2012/2/16,0.833,0.833,0.1202,1
2012/2/17,0.831,0.831,-0.2401,0
2012/2/18,0.831,0.831,0,0
2012/2/19,0.831,0.831,0,0
2012/2/20,0.832,0.832,0.1203,0
2012/2/21,0.837,0.837,0.601,0
2012/2/22,0.846,0.846,1.0753,0
2012/2/23,0.852,0.852,0.7092,0
2012/2/24,0.861,0.861,1.0563,1
2012/2/25,0.861,0.861,0,0
2012/2/26,0.861,0.861,0,0
2012/2/27,0.866,0.866,0.5807,0
2012/2/28,0.864,0.864,-0.2309,0
2012/2/29,0.86,0.86,-0.463,0
2012/3/1,0.864,0.864,0.4651,1
2012/3/2,0.875,0.875,1.2731,0
2012/3/3,0.875,0.875,0,0
2012/3/4,0.875,0.875,0,0
2012/3/5,0.871,0.871,-0.4571,0
2012/3/6,0.865,0.865,-0.6889,0
2012/3/7,0.867,0.867,0.2312,0
2012/3/8,0.873,0.873,0.692,0
2012/3/9,0.888,0.888,1.7182,0
2012/3/10,0.888,0.888,0,0
2012/3/11,0.888,0.888,0,0
2012/3/12,0.89,0.89,0.2252,0
2012/3/13,0.9,0.9,1.1236,0
2012/3/14,0.884,0.884,-1.7778,0
2012/3/15,0.893,0.893,1.0181,0
2012/3/16,0.911,0.911,2.0157,0
2012/3/17,0.911,0.911,0,0
2012/3/18,0.911,0.911,0,0
2012/3/19,0.909,0.909,-0.2195,0
2012/3/20,0.888,0.888,-2.3102,0
2012/3/21,0.88,0.88,-0.9009,0
2012/3/22,0.877,0.877,-0.3409,0
2012/3/23,0.865,0.865,-1.3683,0
2012/3/24,0.865,0.865,0,0
2012/3/25,0.865,0.865,0,0
2012/3/26,0.87,0.87,0.578,0
2012/3/27,0.86,0.86,-1.1494,0
2012/3/28,0.836,0.836,-2.7907,0
2012/3/29,0.831,0.831,-0.5981,0
2012/3/30,0.828,0.828,-0.361,0
2012/3/31,0.828,0.828,0,0
2012/4/1,0.828,0.828,0,0
2012/4/2,0.828,0.828,0,0
2012/4/3,0.828,0.828,0,0
2012/4/4,0.828,0.828,0,0
2012/4/5,0.849,0.849,2.5362,0
2012/4/6,0.853,0.853,0.4711,1
2012/4/7,0.853,0.853,0,0
2012/4/8,0.853,0.853,0,0
2012/4/9,0.849,0.849,-0.4689,0
2012/4/10,0.849,0.849,0,0
2012/4/11,0.85,0.85,0.1178,0
2012/4/12,0.861,0.861,1.2941,0
2012/4/13,0.861,0.861,0,0
2012/4/14,0.861,0.861,0,0
2012/4/15,0.861,0.861,0,0
2012/4/16,0.861,0.861,0,0
2012/4/17,0.849,0.849,-1.3937,1
2012/4/18,0.865,0.865,1.8846,0
2012/4/19,0.86,0.86,-0.578,0
2012/4/20,0.863,0.863,0.3488,0
2012/4/21,0.863,0.863,0,0
2012/4/22,0.863,0.863,0,0
2012/4/23,0.856,0.856,-0.8111,0
2012/4/24,0.851,0.851,-0.5841,0
2012/4/25,0.862,0.862,1.2926,0
2012/4/26,0.87,0.87,0.9281,0
2012/4/27,0.87,0.87,0,0
2012/4/28,0.87,0.87,0,0
2012/4/29,0.87,0.87,0,0
2012/4/30,0.87,0.87,0,0
2012/5/1,0.87,0.87,0,0
2012/5/2,0.877,0.877,0.8046,0
2012/5/3,0.882,0.882,0.5701,0
2012/5/4,0.896,0.896,1.5873,0
2012/5/5,0.896,0.896,0,1
2012/5/6,0.896,0.896,0,0
2012/5/7,0.902,0.902,0.6696,0
2012/5/8,0.9,0.9,-0.2217,0
2012/5/9,0.886,0.886,-1.5556,0
2012/5/10,0.886,0.886,0,0
2012/5/11,0.883,0.883,-0.3386,0
2012/5/12,0.883,0.883,0,0
2012/5/13,0.883,0.883,0,0
2012/5/14,0.874,0.874,-1.0193,0
2012/5/15,0.88,0.88,0.6865,0
2012/5/16,0.873,0.873,-0.7955,0
2012/5/17,0.88,0.88,0.8018,0
2012/5/18,0.865,0.865,-1.7045,0
2012/5/19,0.865,0.865,0,0
2012/5/20,0.865,0.865,0,0
2012/5/21,0.868,0.868,0.3468,0
2012/5/22,0.878,0.878,1.1521,1
2012/5/23,0.877,0.877,-0.1139,1
2012/5/24,0.863,0.863,-1.5964,0
2012/5/25,0.852,0.852,-1.2746,0
2012/5/26,0.852,0.852,0,0
2012/5/27,0.852,0.852,0,0
2012/5/28,0.861,0.861,1.0563,0
2012/5/29,0.869,0.869,0.9292,0
2012/5/30,0.864,0.864,-0.5754,0
2012/5/31,0.869,0.869,0.5787,1
2012/6/1,0.874,0.874,0.5754,0
2012/6/2,0.874,0.874,0,0
2012/6/3,0.874,0.874,0,0
2012/6/4,0.859,0.859,-1.7162,1
2012/6/5,0.862,0.862,0.3492,0
2012/6/6,0.856,0.856,-0.6961,0
2012/6/7,0.86,0.86,0.4673,0
2012/6/8,0.857,0.857,-0.3488,0
2012/6/9,0.857,0.857,0,0
2012/6/10,0.857,0.857,0,0
2012/6/11,0.865,0.865,0.9335,0
2012/6/12,0.87,0.87,0.578,0
2012/6/13,0.892,0.892,2.5287,0
